Year,DateTime,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
2006,"22 Jun 2006 - 16:00 ",Group E,"FIFA World Cup Stadium, Hamburg","Hamburg ",Czech Republic,0,2,Italy," "
2006,"22 Jun 2006 - 16:00 ",Group E,Franken-Stadion,"Nuremberg ",Ghana,2,1,USA," "
2006,"22 Jun 2006 - 21:00 ",Group F,"FIFA World Cup Stadium, Dortmund","Dortmund ",Japan,1,4,Brazil," "
2006,"22 Jun 2006 - 21:00 ",Group F,Gottlieb-Daimler-Stadion,"Stuttgart ",Croatia,2,2,Australia," "
2006,"23 Jun 2006 - 16:00 ",Group H,Olympiastadion,"Berlin ",Ukraine,1,0,Tunisia," "
2006,"23 Jun 2006 - 16:00 ",Group H,Fritz-Walter-Stadion,"Kaiserslautern ",Saudi Arabia,0,1,Spain," "
2006,"23 Jun 2006 - 21:00 ",Group G,"FIFA World Cup Stadium, Cologne","Cologne ",Togo,0,2,France," "
2006,"23 Jun 2006 - 21:00 ",Group G,"FIFA World Cup Stadium, Hanover","Hanover ",Switzerland,2,0,Korea Republic," "
2006,"24 Jun 2006 - 17:00 ",Round of 16,"FIFA World Cup Stadium, Munich","Munich ",Germany,2,0,Sweden," "
2006,"24 Jun 2006 - 21:00 ",Round of 16,Zentralstadion,"Leipzig ",Argentina,2,1,Mexico,"Argentina win after extra time "
2006,"25 Jun 2006 - 17:00 ",Round of 16,Gottlieb-Daimler-Stadion,"Stuttgart ",England,1,0,Ecuador," "
2006,"25 Jun 2006 - 21:00 ",Round of 16,Franken-Stadion,"Nuremberg ",Portugal,1,0,Netherlands," "
2006,"26 Jun 2006 - 17:00 ",Round of 16,Fritz-Walter-Stadion,"Kaiserslautern ",Italy,1,0,Australia," "
2006,"26 Jun 2006 - 21:00 ",Round of 16,"FIFA World Cup Stadium, Cologne","Cologne ",Switzerland,0,0,Ukraine,"Ukraine win on penalties (0 - 3) "
2006,"27 Jun 2006 - 17:00 ",Round of 16,"FIFA World Cup Stadium, Dortmund","Dortmund ",Brazil,3,0,Ghana," "
2006,"27 Jun 2006 - 21:00 ",Round of 16,"FIFA World Cup Stadium, Hanover","Hanover ",Spain,1,3,France," "
2006,"30 Jun 2006 - 17:00 ",Quarter-finals,Olympiastadion,"Berlin ",Germany,1,1,Argentina,"Germany win on penalties (4 - 2) "
2006,"30 Jun 2006 - 21:00 ",Quarter-finals,"FIFA World Cup Stadium, Hamburg","Hamburg ",Italy,3,0,Ukraine," "
2006,"01 Jul 2006 - 17:00 ",Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen ",England,0,0,Portugal,"Portugal win on penalties (1 - 3) "
2006,"01 Jul 2006 - 21:00 ",Quarter-finals,"FIFA World Cup Stadium, Frankfurt","Frankfurt/Main ",Brazil,0,1,France," "
2006,"04 Jul 2006 - 21:00 ",Semi-finals,"FIFA World Cup Stadium, Dortmund","Dortmund ",Germany,0,2,Italy,"Italy win after extra time "
2006,"05 Jul 2006 - 21:00 ",Semi-finals,"FIFA World Cup Stadium, Munich","Munich ",Portugal,0,1,France," "
2006,"08 Jul 2006 - 21:00 ",Third place,Gottlieb-Daimler-Stadion,"Stuttgart ",Germany,3,1,Portugal," "
2006,"09 Jul 2006 - 20:00 ",Final,Olympiastadion,"Berlin ",Italy,1,1,France,"Italy win on penalties (5 - 3) "
2010,"11 Jun 2010 - 16:00 ",Group A,Soccer City Stadium,"Johannesburg ",South Africa,1,1,Mexico," "
2010,"11 Jun 2010 - 20:30 ",Group A,Cape Town Stadium,"Cape Town ",Uruguay,0,0,France," "
2010,"12 Jun 2010 - 13:30 ",Group B,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Korea Republic,2,0,Greece," "
2010,"12 Jun 2010 - 16:00 ",Group B,Ellis Park Stadium,"Johannesburg ",Argentina,1,0,Nigeria," "
2010,"12 Jun 2010 - 20:30 ",Group C,Royal Bafokeng Sports Palace,"Phokeng ",England,1,1,USA," "
2010,"13 Jun 2010 - 13:30 ",Group C,Peter Mokaba Stadium,"Polokwane ",Algeria,0,1,Slovenia," "
2010,"13 Jun 2010 - 16:00 ",Group D,Loftus Versfeld Stadium,"Tshwane/Pretoria ",Serbia,0,1,Ghana," "
2010,"13 Jun 2010 - 20:30 ",Group D,Durban Stadium,"Durban ",Germany,4,0,Australia," "
2010,"14 Jun 2010 - 13:30 ",Group E,Soccer City Stadium,"Johannesburg ",Netherlands,2,0,Denmark," "
2010,"14 Jun 2010 - 16:00 ",Group E,Free State Stadium,"Mangaung/Bloemfontein ",Japan,1,0,Cameroon," "
2010,"14 Jun 2010 - 20:30 ",Group F,Cape Town Stadium,"Cape Town ",Italy,1,1,Paraguay," "
2010,"15 Jun 2010 - 13:30 ",Group F,Royal Bafokeng Sports Palace,"Phokeng ",New Zealand,1,1,Slovakia," "
2010,"15 Jun 2010 - 16:00 ",Group G,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",C�te d'Ivoire,0,0,Portugal," "
2010,"15 Jun 2010 - 20:30 ",Group G,Ellis Park Stadium,"Johannesburg ",Brazil,2,1,Korea DPR," "
2010,"16 Jun 2010 - 13:30 ",Group H,Mbombela Stadium,"Nelspruit ",Honduras,0,1,Chile," "
2010,"16 Jun 2010 - 16:00 ",Group H,Durban Stadium,"Durban ",Spain,0,1,Switzerland," "
2010,"16 Jun 2010 - 20:30 ",Group A,Loftus Versfeld Stadium,"Tshwane/Pretoria ",South Africa,0,3,Uruguay," "
2010,"17 Jun 2010 - 13:30 ",Group B,Soccer City Stadium,"Johannesburg ",Argentina,4,1,Korea Republic," "
2010,"17 Jun 2010 - 16:00 ",Group B,Free State Stadium,"Mangaung/Bloemfontein ",Greece,2,1,Nigeria," "
2010,"17 Jun 2010 - 20:30 ",Group A,Peter Mokaba Stadium,"Polokwane ",France,0,2,Mexico," "
2010,"18 Jun 2010 - 13:30 ",Group D,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Germany,0,1,Serbia," "
2010,"18 Jun 2010 - 16:00 ",Group C,Ellis Park Stadium,"Johannesburg ",Slovenia,2,2,USA," "
2010,"18 Jun 2010 - 20:30 ",Group C,Cape Town Stadium,"Cape Town ",England,0,0,Algeria," "
2010,"19 Jun 2010 - 13:30 ",Group E,Durban Stadium,"Durban ",Netherlands,1,0,Japan," "
2010,"19 Jun 2010 - 16:00 ",Group D,Royal Bafokeng Sports Palace,"Phokeng ",Ghana,1,1,Australia," "
2010,"19 Jun 2010 - 20:30 ",Group E,Loftus Versfeld Stadium,"Tshwane/Pretoria ",Cameroon,1,2,Denmark," "
2010,"20 Jun 2010 - 13:30 ",Group F,Free State Stadium,"Mangaung/Bloemfontein ",Slovakia,0,2,Paraguay," "
2010,"20 Jun 2010 - 16:00 ",Group F,Mbombela Stadium,"Nelspruit ",Italy,1,1,New Zealand," "
2010,"20 Jun 2010 - 20:30 ",Group G,Soccer City Stadium,"Johannesburg ",Brazil,3,1,C�te d'Ivoire," "
2010,"21 Jun 2010 - 13:30 ",Group G,Cape Town Stadium,"Cape Town ",Portugal,7,0,Korea DPR," "
2010,"21 Jun 2010 - 16:00 ",Group H,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Chile,1,0,Switzerland," "
2010,"21 Jun 2010 - 20:30 ",Group H,Ellis Park Stadium,"Johannesburg ",Spain,2,0,Honduras," "
2010,"22 Jun 2010 - 16:00 ",Group A,Royal Bafokeng Sports Palace,"Phokeng ",Mexico,0,1,Uruguay," "
2010,"22 Jun 2010 - 16:00 ",Group A,Free State Stadium,"Mangaung/Bloemfontein ",France,1,2,South Africa," "
2010,"22 Jun 2010 - 20:30 ",Group B,Durban Stadium,"Durban ",Nigeria,2,2,Korea Republic," "
2010,"22 Jun 2010 - 20:30 ",Group B,Peter Mokaba Stadium,"Polokwane ",Greece,0,2,Argentina," "
2010,"23 Jun 2010 - 16:00 ",Group C,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Slovenia,0,1,England," "
2010,"23 Jun 2010 - 16:00 ",Group C,Loftus Versfeld Stadium,"Tshwane/Pretoria ",USA,1,0,Algeria," "
2010,"23 Jun 2010 - 20:30 ",Group D,Soccer City Stadium,"Johannesburg ",Ghana,0,1,Germany," "
2010,"23 Jun 2010 - 20:30 ",Group D,Mbombela Stadium,"Nelspruit ",Australia,2,1,Serbia," "
2010,"24 Jun 2010 - 16:00 ",Group F,Ellis Park Stadium,"Johannesburg ",Slovakia,3,2,Italy," "
2010,"24 Jun 2010 - 16:00 ",Group F,Peter Mokaba Stadium,"Polokwane ",Paraguay,0,0,New Zealand," "
2010,"24 Jun 2010 - 20:30 ",Group E,Royal Bafokeng Sports Palace,"Phokeng ",Denmark,1,3,Japan," "
2010,"24 Jun 2010 - 20:30 ",Group E,Cape Town Stadium,"Cape Town ",Cameroon,1,2,Netherlands," "
2010,"25 Jun 2010 - 16:00 ",Group G,Durban Stadium,"Durban ",Portugal,0,0,Brazil," "
2010,"25 Jun 2010 - 16:00 ",Group G,Mbombela Stadium,"Nelspruit ",Korea DPR,0,3,C�te d'Ivoire," "
2010,"25 Jun 2010 - 20:30 ",Group H,Loftus Versfeld Stadium,"Tshwane/Pretoria ",Chile,1,2,Spain," "
2010,"25 Jun 2010 - 20:30 ",Group H,Free State Stadium,"Mangaung/Bloemfontein ",Switzerland,0,0,Honduras," "
2010,"26 Jun 2010 - 16:00 ",Round of 16,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Uruguay,2,1,Korea Republic," "
2010,"26 Jun 2010 - 20:30 ",Round of 16,Royal Bafokeng Sports Palace,"Phokeng ",USA,1,2,Ghana,"Ghana win after extra time "
2010,"27 Jun 2010 - 16:00 ",Round of 16,Free State Stadium,"Mangaung/Bloemfontein ",Germany,4,1,England," "
2010,"27 Jun 2010 - 20:30 ",Round of 16,Soccer City Stadium,"Johannesburg ",Argentina,3,1,Mexico," "
2010,"28 Jun 2010 - 16:00 ",Round of 16,Durban Stadium,"Durban ",Netherlands,2,1,Slovakia," "
2010,"28 Jun 2010 - 20:30 ",Round of 16,Ellis Park Stadium,"Johannesburg ",Brazil,3,0,Chile," "
2010,"29 Jun 2010 - 16:00 ",Round of 16,Loftus Versfeld Stadium,"Tshwane/Pretoria ",Paraguay,0,0,Japan,"Paraguay win on penalties (5 - 3) "
2010,"29 Jun 2010 - 20:30 ",Round of 16,Cape Town Stadium,"Cape Town ",Spain,1,0,Portugal," "
2010,"02 Jul 2010 - 16:00 ",Quarter-finals,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Netherlands,2,1,Brazil," "
2010,"02 Jul 2010 - 20:30 ",Quarter-finals,Soccer City Stadium,"Johannesburg ",Uruguay,1,1,Ghana,"Uruguay win on penalties (4 - 2) "
2010,"03 Jul 2010 - 16:00 ",Quarter-finals,Cape Town Stadium,"Cape Town ",Argentina,0,4,Germany," "
2010,"03 Jul 2010 - 20:30 ",Quarter-finals,Ellis Park Stadium,"Johannesburg ",Paraguay,0,1,Spain," "
2010,"06 Jul 2010 - 20:30 ",Semi-finals,Cape Town Stadium,"Cape Town ",Uruguay,2,3,Netherlands," "
2010,"07 Jul 2010 - 20:30 ",Semi-finals,Durban Stadium,"Durban ",Germany,0,1,Spain," "
2010,"10 Jul 2010 - 20:30 ",Match for third place,Port Elizabeth Stadium,"Nelson Mandela Bay/Port Elizabeth ",Uruguay,2,3,Germany," "
2010,"11 Jul 2010 - 20:30 ",Final,Soccer City Stadium,"Johannesburg ",Netherlands,0,1,Spain,"Spain win after extra time "
2014,"12 Jun 2014 - 17:00 ",Group A,Arena de Sao Paulo,"Sao Paulo ",Brazil,3,1,Croatia," "
2014,"13 Jun 2014 - 13:00 ",Group A,Estadio das Dunas,"Natal ",Mexico,1,0,Cameroon," "
2014,"13 Jun 2014 - 16:00 ",Group B,Arena Fonte Nova,"Salvador ",Spain,1,5,Netherlands," "
2014,"13 Jun 2014 - 18:00 ",Group B,Arena Pantanal,"Cuiaba ",Chile,3,1,Australia," "
2014,"14 Jun 2014 - 13:00 ",Group C,Estadio Mineirao,"Belo Horizonte ",Colombia,3,0,Greece," "
2014,"14 Jun 2014 - 16:00 ",Group D,Estadio Castelao,"Fortaleza ",Uruguay,1,3,Costa Rica," "
2014,"14 Jun 2014 - 18:00 ",Group D,Arena Amazonia,"Manaus ",England,1,2,Italy," "
2014,"14 Jun 2014 - 22:00 ",Group C,Arena Pernambuco,"Recife ",C�te d'Ivoire,2,1,Japan," "
2014,"15 Jun 2014 - 13:00 ",Group E,Estadio Nacional,"Brasilia ",Switzerland,2,1,Ecuador," "
2014,"15 Jun 2014 - 16:00 ",Group E,Estadio Beira-Rio,"Porto Alegre ",France,3,0,Honduras," "
2014,"15 Jun 2014 - 19:00 ",Group F,Estadio do Maracana,"Rio De Janeiro ",Argentina,2,1,Bosnia and Herzegovina," "
2014,"16 Jun 2014 - 13:00 ",Group G,Arena Fonte Nova,"Salvador ",Germany,4,0,Portugal," "
2014,"16 Jun 2014 - 16:00 ",Group F,Arena da Baixada,"Curitiba ",IR Iran,0,0,Nigeria," "
2014,"16 Jun 2014 - 19:00 ",Group G,Estadio das Dunas,"Natal ",Ghana,1,2,USA," "
2014,"17 Jun 2014 - 13:00 ",Group H,Estadio Mineirao,"Belo Horizonte ",Belgium,2,1,Algeria," "
2014,"17 Jun 2014 - 16:00 ",Group A,Estadio Castelao,"Fortaleza ",Brazil,0,0,Mexico," "
2014,"17 Jun 2014 - 18:00 ",Group H,Arena Pantanal,"Cuiaba ",Russia,1,1,Korea Republic," "
2014,"18 Jun 2014 - 13:00 ",Group B,Estadio Beira-Rio,"Porto Alegre ",Australia,2,3,Netherlands," "
2014,"18 Jun 2014 - 16:00 ",Group B,Estadio do Maracana,"Rio De Janeiro ",Spain,0,2,Chile," "
2014,"18 Jun 2014 - 18:00 ",Group A,Arena Amazonia,"Manaus ",Cameroon,0,4,Croatia," "
2014,"19 Jun 2014 - 13:00 ",Group C,Estadio Nacional,"Brasilia ",Colombia,2,1,C�te d'Ivoire," "
2014,"19 Jun 2014 - 16:00 ",Group D,Arena de Sao Paulo,"Sao Paulo ",Uruguay,2,1,England," "
2014,"19 Jun 2014 - 19:00 ",Group C,Estadio das Dunas,"Natal ",Japan,0,0,Greece," "
2014,"20 Jun 2014 - 13:00 ",Group D,Arena Pernambuco,"Recife ",Italy,0,1,Costa Rica," "
2014,"20 Jun 2014 - 16:00 ",Group E,Arena Fonte Nova,"Salvador ",Switzerland,2,5,France," "
2014,"20 Jun 2014 - 19:00 ",Group E,Arena da Baixada,"Curitiba ",Honduras,1,2,Ecuador," "
2014,"21 Jun 2014 - 13:00 ",Group F,Estadio Mineirao,"Belo Horizonte ",Argentina,1,0,IR Iran," "
2014,"21 Jun 2014 - 16:00 ",Group G,Estadio Castelao,"Fortaleza ",Germany,2,2,Ghana," "
2014,"21 Jun 2014 - 18:00 ",Group F,Arena Pantanal,"Cuiaba ",Nigeria,1,0,Bosnia and Herzegovina," "
2014,"22 Jun 2014 - 13:00 ",Group H,Estadio do Maracana,"Rio De Janeiro ",Belgium,1,0,Russia," "
2014,"22 Jun 2014 - 16:00 ",Group H,Estadio Beira-Rio,"Porto Alegre ",Korea Republic,2,4,Algeria," "
2014,"22 Jun 2014 - 18:00 ",Group G,Arena Amazonia,"Manaus ",USA,2,2,Portugal," "
2014,"23 Jun 2014 - 13:00 ",Group B,Arena da Baixada,"Curitiba ",Australia,0,3,Spain," "
2014,"23 Jun 2014 - 13:00 ",Group B,Arena de Sao Paulo,"Sao Paulo ",Netherlands,2,0,Chile," "
2014,"23 Jun 2014 - 17:00 ",Group A,Estadio Nacional,"Brasilia ",Cameroon,1,4,Brazil," "
2014,"23 Jun 2014 - 17:00 ",Group A,Arena Pernambuco,"Recife ",Croatia,1,3,Mexico," "
2014,"24 Jun 2014 - 13:00 ",Group D,Estadio das Dunas,"Natal ",Italy,0,1,Uruguay," "
2014,"24 Jun 2014 - 13:00 ",Group D,Estadio Mineirao,"Belo Horizonte ",Costa Rica,0,0,England," "
2014,"24 Jun 2014 - 16:00 ",Group C,Arena Pantanal,"Cuiaba ",Japan,1,4,Colombia," "
2014,"24 Jun 2014 - 17:00 ",Group C,Estadio Castelao,"Fortaleza ",Greece,2,1,C�te d'Ivoire," "
2014,"25 Jun 2014 - 13:00 ",Group F,Estadio Beira-Rio,"Porto Alegre ",Nigeria,2,3,Argentina," "
2014,"25 Jun 2014 - 13:00 ",Group F,Arena Fonte Nova,"Salvador ",Bosnia and Herzegovina,3,1,IR Iran," "
2014,"25 Jun 2014 - 16:00 ",Group E,Arena Amazonia,"Manaus ",Honduras,0,3,Switzerland," "
2014,"25 Jun 2014 - 17:00 ",Group E,Estadio do Maracana,"Rio De Janeiro ",Ecuador,0,0,France," "
2014,"26 Jun 2014 - 13:00 ",Group G,Arena Pernambuco,"Recife ",USA,0,1,Germany," "
2014,"26 Jun 2014 - 13:00 ",Group G,Estadio Nacional,"Brasilia ",Portugal,2,1,Ghana," "
2014,"26 Jun 2014 - 17:00 ",Group H,Arena de Sao Paulo,"Sao Paulo ",Korea Republic,0,1,Belgium," "
2014,"26 Jun 2014 - 17:00 ",Group H,Arena da Baixada,"Curitiba ",Algeria,1,1,Russia," "
2014,"28 Jun 2014 - 13:00 ",Round of 16,Estadio Mineirao,"Belo Horizonte ",Brazil,1,1,Chile,"Brazil win on penalties (3 - 2) "
2014,"28 Jun 2014 - 17:00 ",Round of 16,Estadio do Maracana,"Rio De Janeiro ",Colombia,2,0,Uruguay," "
2014,"30 Jun 2014 - 13:00 ",Round of 16,Estadio Nacional,"Brasilia ",France,2,0,Nigeria," "
2014,"30 Jun 2014 - 17:00 ",Round of 16,Estadio Beira-Rio,"Porto Alegre ",Germany,2,1,Algeria,"Germany win after extra time "
2014,"04 Jul 2014 - 17:00 ",Quarter-finals,Estadio Castelao,"Fortaleza ",Brazil,2,1,Colombia," "
2014,"04 Jul 2014 - 13:00 ",Quarter-finals,Estadio do Maracana,"Rio De Janeiro ",France,0,1,Germany," "
2014,"08 Jul 2014 - 17:00 ",Semi-finals,Estadio Mineirao,"Belo Horizonte ",Brazil,1,7,Germany," "
2014,"12 Jul 2014 - 17:00 ",Play-off for third place,Estadio Nacional,"Brasilia ",Brazil,0,3,Netherlands," "
2014,"13 Jul 2014 - 16:00 ",Final,Estadio do Maracana,"Rio De Janeiro ",Germany,1,0,Argentina,"Germany win after extra time "
2014,"09 Jul 2014 - 17:00 ",Semi-finals,Arena de Sao Paulo,"Sao Paulo ",Netherlands,0,0,Argentina,"Argentina win on penalties (2 - 4) "
2014,"05 Jul 2014 - 17:00 ",Quarter-finals,Arena Fonte Nova,"Salvador ",Netherlands,0,0,Costa Rica,"Netherlands win on penalties (4 - 3) "
2014,"05 Jul 2014 - 13:00 ",Quarter-finals,Estadio Nacional,"Brasilia ",Argentina,1,0,Belgium," "
2014,"29 Jun 2014 - 13:00 ",Round of 16,Estadio Castelao,"Fortaleza ",Netherlands,2,1,Mexico," "
2014,"29 Jun 2014 - 17:00 ",Round of 16,Arena Pernambuco,"Recife ",Costa Rica,1,1,Greece,"Costa Rica win on penalties (5 - 3) "
2014,"01 Jul 2014 - 13:00 ",Round of 16,Arena de Sao Paulo,"Sao Paulo ",Argentina,1,0,Switzerland,"Argentina win after extra time "
2014,"01 Jul 2014 - 17:00 ",Round of 16,Arena Fonte Nova,"Salvador ",Belgium,2,1,USA,"Belgium win after extra time "
2014,"28 Jun 2014 - 13:00 ",Round of 16,Estadio Mineirao,"Belo Horizonte ",Brazil,1,1,Chile,"Brazil win on penalties (3 - 2) "
2014,"28 Jun 2014 - 17:00 ",Round of 16,Estadio do Maracana,"Rio De Janeiro ",Colombia,2,0,Uruguay," "
2014,"29 Jun 2014 - 13:00 ",Round of 16,Estadio Castelao,"Fortaleza ",Netherlands,2,1,Mexico," "
2014,"29 Jun 2014 - 17:00 ",Round of 16,Arena Pernambuco,"Recife ",Costa Rica,1,1,Greece,"Costa Rica win on penalties (5 - 3) "
2014,"30 Jun 2014 - 13:00 ",Round of 16,Estadio Nacional,"Brasilia ",France,2,0,Nigeria," "
2014,"30 Jun 2014 - 17:00 ",Round of 16,Estadio Beira-Rio,"Porto Alegre ",Germany,2,1,Algeria,"Germany win after extra time "
2014,"01 Jul 2014 - 13:00 ",Round of 16,Arena de Sao Paulo,"Sao Paulo ",Argentina,1,0,Switzerland,"Argentina win after extra time "
2014,"01 Jul 2014 - 17:00 ",Round of 16,Arena Fonte Nova,"Salvador ",Belgium,2,1,USA,"Belgium win after extra time "
2014,"04 Jul 2014 - 13:00 ",Quarter-finals,Estadio do Maracana,"Rio De Janeiro ",France,0,1,Germany," "
2014,"04 Jul 2014 - 17:00 ",Quarter-finals,Estadio Castelao,"Fortaleza ",Brazil,2,1,Colombia," "
2014,"05 Jul 2014 - 13:00 ",Quarter-finals,Estadio Nacional,"Brasilia ",Argentina,1,0,Belgium," "
2014,"05 Jul 2014 - 17:00 ",Quarter-finals,Arena Fonte Nova,"Salvador ",Netherlands,0,0,Costa Rica,"Netherlands win on penalties (4 - 3) "
2014,"08 Jul 2014 - 17:00 ",Semi-finals,Estadio Mineirao,"Belo Horizonte ",Brazil,1,7,Germany," "
2014,"09 Jul 2014 - 17:00 ",Semi-finals,Arena de Sao Paulo,"Sao Paulo ",Netherlands,0,0,Argentina,"Argentina win on penalties (2 - 4) "
2014,"12 Jul 2014 - 17:00 ",Play-off for third place,Estadio Nacional,"Brasilia ",Brazil,0,3,Netherlands," "
2014,"13 Jul 2014 - 16:00 ",Final,Estadio do Maracana,"Rio De Janeiro ",Germany,1,0,Argentina,"Germany win after extra time "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
